STN Code,Name of Monitoring Location,State Name,Year,pH,Nitrate N (mg/L),Total Dissolved Solids (mg/L)
3477,"WELL AT ALIPUR, DELHI",DELHI,2021,7.4,0.3,669
3479,"WELL AT AURBINDO MARG, DELHI",DELHI,2021,7.5,0.48,675
3480,"WELL AT BAWANA, DELHI",DELHI,2021,7.1,0.76,461
3483,"WELL AT BURARI, DELHI",DELHI,2021,7.4,0.3,346
3485,"WELL AT DEFENCE COLONY, DELHI",DELHI,2021,6.7,0.47,288
3488,"WELL AT DILSHAD GARDEN, DELHI",DELHI,2021,7.2,0.3,559
3489,"WELL AT DWARKA, DELHI",DELHI,2021,6.7,0.3,577
3490,"WELL AT FATEH PUR BERI, DELHI",DELHI,2021,7.3,0.76,590
3492,"WELL AT GAJIPUR, DELHI",DELHI,2021,7,0.4,679
3493,"WELL AT GANDHI NAGAR, DELHI",DELHI,2021,6.9,0.3,496
3494,"WELL AT HAIDERPUR, DELHI",DELHI,2021,7,0.3,383
3496,"WELL AT ISBT, DELHI",DELHI,2021,7.2,0.86,375
3498,"WELL AT KALKA JI, DELHI",DELHI,2021,6.9,0.57,441
3500,"WELL AT KAMLA NAGAR, DELHI",DELHI,2021,7.2,0.5,536
3503,"WELL AT KAROL BAGH, DELHI",DELHI,2021,6.9,0.3,358
3514,"WELL AT MATIALA, DELHI",DELHI,2021,6.9,0.36,807
3515,"WELL AT MAYA PURI, DELHI",DELHI,2021,7.3,0.5,698
3516,"WELL AT MAYUR VIHAR, DELHI",DELHI,2021,7.3,0.3,480
3517,"WELL AT NAJAFGARH, DELHI",DELHI,2021,7,0.69,768
3518,"WELL AT NARAINA INDL AREA, DELHI",DELHI,2021,6.9,0.56,450
3520,"WELL AT OKHLA, DELHI",DELHI,2021,7.3,1.01,838
3524,"WELL AT PASCHIM VIHAR, DELHI",DELHI,2021,7.1,0.3,1080
3525,"WELL AT PATEL NAGAR, DELHI",DELHI,2021,7,0.3,394
3526,"WELL AT PATPAR GANJ, DELHI",DELHI,2021,7.3,0.3,1115
3527,"WELL AT PATPARGANJ INDL AREA, DELHI",DELHI,2021,7.4,1.5,1110
3528,"WELL AT PEERAGARHI, DELHI",DELHI,2021,7.1,0.3,1970
3529,"WELL AT PILANJI, DELHI",DELHI,2021,7.7,0.34,312
3530,"WELL AT PRIYA ENCLAVE, DELHI",DELHI,2021,7,0.3,485
3531,"WELL AT QUTAB GARH, DELHI",DELHI,2021,7.5,0.57,2850
3532,"WELL AT RAJENDER NAGAR, DELHI",DELHI,2021,7,1.03,583
3533,"WELL AT RAJPURA ROAD, DELHI",DELHI,2021,7.2,0.36,397
3535,"WELL AT ROHINI, DELHI",DELHI,2021,7.3,1.5,367
3536,"WELL AT SAKET, DELHI",DELHI,2021,7.4,0.3,500
3537,"WELL AT SHAHDARA, DELHI",DELHI,2021,6.3,0.68,337
3538,"WELL AT SINGHU BORDER, DELHI",DELHI,2021,7.3,0.99,1930
3539,"WELL AT SINGOLA, DELHI",DELHI,2021,7.4,0.53,896
3540,"WELL AT SULTANPURI, DELHI",DELHI,2021,6.9,0.49,689
3541,"WELL AT TIKRI KALAN , DELHI",DELHI,2021,7.1,0.87,2870
3542,"WELL AT TILAK NAGAR, DELHI",DELHI,2021,7.2,0.36,642
3543,"WELL AT TRILOKPURI, DELHI",DELHI,2021,7,0.3,540
3544,"WELL AT UJWAH, DELHI",DELHI,2021,7.1,0.98,361
3545,"WELL AT VASANT KUNJ, DELHI",DELHI,2021,7.7,0.41,311
3546,WELL AT VASANT VIHAR DELHI,DELHI,2021,7.2,0.3,409
3534,"WELL NEAR GURUDWARA SHRI RAKABGANJ SAHIB, DELHI",DELHI,2021,6.8,0.3,730
3477,"WELL AT ALIPUR, DELHI",DELHI,2022,7.3,6.12,2926
3479,"WELL AT AURBINDO MARG, DELHI",DELHI,2022,7.5,51.62,1290
3480,"WELL AT BAWANA, DELHI",DELHI,2022,7.7,5.21,772
3483,"WELL AT BURARI, DELHI",DELHI,2022,7.5,1.62,1319
3485,"WELL AT DEFENCE COLONY, DELHI",DELHI,2022,6.8,147.02,1890
3488,"WELL AT DILSHAD GARDEN, DELHI",DELHI,2022,7.2,6.01,2200
3489,"WELL AT DWARKA, DELHI",DELHI,2022,7.3,85.03,1892
3490,"WELL AT FATEH PUR BERI, DELHI",DELHI,2022,7.1,51.21,873
3492,"WELL AT GAJIPUR, DELHI",DELHI,2022,7,2.72,1818
3493,"WELL AT GANDHI NAGAR, DELHI",DELHI,2022,7,7.84,1700
3494,"WELL AT HAIDERPUR, DELHI",DELHI,2022,8.2,22.31,901
3496,"WELL AT ISBT, DELHI",DELHI,2022,7.6,22.31,1053
3498,"WELL AT KALKA JI, DELHI",DELHI,2022,7.3,4.42,360
3500,"WELL AT KAMLA NAGAR, DELHI",DELHI,2022,7.6,28.51,1217
3503,"WELL AT KAROL BAGH, DELHI",DELHI,2022,7.7,20.11,919
3514,"WELL AT MATIALA, DELHI",DELHI,2022,7.3,37.81,1473
3515,"WELL AT MAYA PURI, DELHI",DELHI,2022,7.4,16.92,1047
3516,"WELL AT MAYUR VIHAR, DELHI",DELHI,2022,7.5,1.62,222
3517,"WELL AT NAJAFGARH, DELHI",DELHI,2022,7.1,307.85,4110
3518,"WELL AT NARAINA INDL AREA, DELHI",DELHI,2022,7.2,57.01,1941
3520,"WELL AT OKHLA, DELHI",DELHI,2022,7,48.52,1580
3523,"WELL AT PARIVESH BHAWAN, DELHI",DELHI,2022,7.2,2.22,2582
3524,"WELL AT PASCHIM VIHAR, DELHI",DELHI,2022,7.8,8.33,1818
